MJD, Mag, MagErr
56618.648000,-0.167027,0.047253
56640.589000,-0.132027,0.048392
56648.570000,-0.089027,0.049841
56656.548000,-0.044027,0.051428
56674.547000,-0.091027,0.049772
56700.449000,-0.239027,0.045034
56740.335000,-0.106027,0.049266
56756.292000,-0.223027,0.045517
56770.370000,-0.129027,0.048495
56784.313000,-0.142027,0.048070
56787.406000,-0.139027,0.048162
56794.379000,-0.183027,0.046747
56797.358000,-0.135027,0.048300
56799.359000,-0.103027,0.049369
56802.341000,-0.183027,0.046747
56805.350000,-0.107027,0.049231
56812.302000,-0.058027,0.050922
56820.310000,-0.207027,0.046000
56822.310000,-0.139027,0.048162
56823.291000,-0.163027,0.047391
56827.292000,-0.038027,0.051635
56829.293000,-0.119027,0.048829
56982.650000,-0.056027,0.050991
56998.630000,-0.051027,0.051175
57009.595000,-0.059027,0.050887
57031.556000,-0.190027,0.046529
57039.552000,-0.086027,0.049945
57042.549000,-0.070027,0.050508
57044.552000,-0.120027,0.048794
57046.536000,-0.187027,0.046621
57050.538000,-0.081027,0.050117
57055.531000,0.086973,0.056396
57065.458000,-0.055027,0.051025
57072.518000,-0.027027,0.052037
57082.422000,-0.096027,0.049599
57084.486000,-0.149027,0.047840
57102.507000,-0.000027,0.053026
57103.466000,-0.101027,0.049438
57106.448000,-0.089027,0.049841
57109.409000,-0.082027,0.050082
57111.401000,-0.099027,0.049507
57113.410000,-0.119027,0.048829
57122.374000,-0.061027,0.050818
57148.268000,-0.064027,0.050715
57179.280000,-0.098027,0.049530
57359.647000,-0.045027,0.051382
57365.625000,0.019973,0.053785
57368.622000,0.000973,0.053072
57369.615000,0.004973,0.053222
57379.337000,-0.090027,0.053107
57380.333000,0.083973,0.060110
57387.355000,-0.017027,0.055924
57395.341000,-0.040027,0.055016
57396.341000,-0.060027,0.054245
57398.281000,-0.052027,0.054544
57399.587000,0.019973,0.053785
57402.331000,-0.039027,0.055051
57404.533000,-0.008027,0.052739
57407.515000,0.105973,0.057166
57410.314000,-0.029027,0.055441
57411.506000,-0.078027,0.050220
57412.605000,-0.080027,0.050152
57419.582000,0.079973,0.056120
57420.499000,0.091973,0.056603
57422.331000,-0.080027,0.053475
57424.343000,-0.049027,0.054659
57425.342000,-0.040027,0.055016
57426.349000,-0.007027,0.056315
57427.353000,-0.024027,0.055637
57428.328000,-0.020027,0.055798
57431.342000,0.004973,0.056799
57433.337000,0.021973,0.057500
57434.337000,-0.006027,0.056361
57435.336000,-0.028027,0.055487
57436.181000,0.010973,0.057051
57437.388000,0.000973,0.056638
57438.284000,-0.059027,0.054280
57439.174000,0.108973,0.061214
57447.409000,0.078973,0.059903
57448.392000,0.007973,0.056925
57451.294000,-0.010027,0.056200
57455.302000,-0.001027,0.056557
57458.231000,-0.009027,0.056235
57462.372000,-0.013027,0.052543
57463.480000,0.037973,0.054475
57467.356000,0.065973,0.055568
57468.380000,-0.047027,0.054740
57475.214000,0.026973,0.057707
57478.343000,-0.096027,0.052877
57479.242000,-0.084027,0.053325
57481.254000,0.012973,0.057132
57485.237000,0.078973,0.059903
57491.280000,0.053973,0.055096
57492.315000,0.107973,0.057247
