MJD, Mag, MagErr
53496.204980,0.069648,0.013200
53496.212490,0.039648,0.013200
53496.219930,0.049648,0.013200
53496.227380,0.069648,0.013200
53525.196320,0.079648,0.013200
53525.205510,0.039648,0.013200
53525.214720,0.049648,0.013200
53525.223790,0.079648,0.013200
53532.219820,0.069648,0.013200
53532.226830,0.069648,0.013200
53532.233850,0.049648,0.013200
53532.240910,0.069648,0.013200
53555.159990,0.079648,0.013200
53555.168050,0.069648,0.013200
53555.176100,0.069648,0.013200
53555.184170,0.089648,0.013200
53743.482760,0.119648,0.013200
53743.488700,0.119648,0.013200
53743.494620,0.109648,0.013200
53743.500540,0.119648,0.013200
53765.523440,0.119648,0.013200
53765.529820,0.099648,0.013200
53765.536390,0.119648,0.013200
53765.542850,0.109648,0.013200
53776.475600,0.119648,0.013200
53776.482610,0.149648,0.013200
53776.489620,0.109648,0.013200
53776.496660,0.109648,0.013200
53845.328440,0.089648,0.013200
53845.335490,0.089648,0.013200
53845.342500,0.089648,0.013200
53845.349500,0.109648,0.013200
53863.322900,0.069648,0.019800
53863.323640,0.109648,0.019800
53863.324510,0.109648,0.019800
53863.325260,0.039648,0.019800
53875.237710,0.099648,0.013200
53875.245400,0.099648,0.013200
53875.253070,0.099648,0.013200
53875.260720,0.109648,0.013200
53886.180290,0.089648,0.011000
53886.187490,0.069648,0.011000
53886.194640,0.059648,0.011000
53886.201840,0.079648,0.011000
53887.164980,0.069648,0.011000
53887.171770,0.069648,0.011000
53887.178440,0.069648,0.011000
53887.185200,0.059648,0.011000
53903.234300,0.019648,0.019800
53903.235310,0.029648,0.019800
53903.236360,-0.000352,0.019800
53903.237400,-0.010352,0.019800
53906.198010,0.079648,0.013200
53906.211880,0.069648,0.013200
54094.509430,0.059648,0.013200
54094.517830,0.059648,0.013200
54094.526220,0.049648,0.013200
54094.534690,0.049648,0.013200
54115.488970,0.059648,0.013200
54115.498340,0.069648,0.013200
54115.507920,0.079648,0.013200
54115.519710,0.059648,0.013200
54127.454060,0.039648,0.013200
54127.464310,0.049648,0.013200
54127.474540,0.039648,0.013200
54127.484770,0.059648,0.013200
54201.254490,0.029648,0.013200
54201.263160,0.019648,0.013200
54201.271850,0.029648,0.013200
54201.280520,0.009648,0.013200
54241.239500,0.009648,0.013200
54241.248700,-0.030352,0.013200
54241.257910,-0.000352,0.013200
54241.267280,-0.010352,0.013200
54450.512710,-0.080352,0.013200
54450.518910,-0.070352,0.013200
54450.524990,-0.090352,0.013200
54450.531060,-0.070352,0.013200
54480.487630,-0.050352,0.013200
54480.494210,-0.050352,0.013200
54480.500700,-0.060352,0.013200
54480.507230,-0.040352,0.013200
54515.390080,-0.070352,0.013200
54515.394330,-0.090352,0.013200
54515.398600,-0.100352,0.013200
54515.402860,-0.080352,0.013200
54560.348510,-0.080352,0.013200
54560.353890,-0.100352,0.013200
54560.359300,-0.080352,0.013200
54560.364670,-0.070352,0.013200
54567.300740,-0.130352,0.013200
54567.309680,-0.110352,0.013200
54567.318650,-0.120352,0.013200
54567.327610,-0.100352,0.013200
54569.381380,-0.120352,0.011000
54569.387460,-0.130352,0.011000
54569.393580,-0.120352,0.011000
54569.399800,-0.120352,0.011000
54581.292850,-0.090352,0.013200
54581.299330,-0.100352,0.013200
54581.305780,-0.110352,0.013200
54581.312220,-0.110352,0.013200
54608.170220,-0.190352,0.011000
54608.174410,-0.150352,0.011000
54608.178260,-0.160352,0.011000
54608.182050,-0.140352,0.011000
54829.542690,-0.080352,0.013200
54829.546520,-0.100352,0.013200
54829.550210,-0.080352,0.013200
54829.554000,-0.110352,0.013200
54859.448950,-0.070352,0.013200
54859.453730,-0.070352,0.013200
54859.458520,-0.080352,0.013200
54859.465310,-0.070352,0.013200
54867.428830,-0.060352,0.011000
54867.434880,-0.080352,0.011000
54867.440790,-0.070352,0.011000
54867.446800,-0.060352,0.011000
54917.399950,-0.050352,0.011000
54917.407520,-0.040352,0.011000
54917.415070,-0.060352,0.011000
54917.422640,-0.050352,0.011000
54937.313390,-0.050352,0.013200
54937.318260,-0.050352,0.013200
54937.323110,-0.040352,0.013200
54937.327850,-0.070352,0.013200
54942.244030,-0.080352,0.011000
54942.251580,-0.090352,0.011000
54942.259050,-0.090352,0.011000
54942.266630,-0.090352,0.011000
54950.259720,-0.070352,0.013200
54950.268410,-0.070352,0.013200
54950.277120,-0.050352,0.013200
54950.285780,-0.060352,0.013200
54982.184000,-0.070352,0.013200
54982.189400,-0.080352,0.013200
54982.194820,-0.090352,0.013200
54982.200240,-0.080352,0.013200
55240.459530,0.089648,0.013200
55240.467140,0.099648,0.013200
55240.474710,0.099648,0.013200
55240.482270,0.069648,0.013200
55245.399460,0.069648,0.013200
55245.406370,0.069648,0.013200
55245.413340,0.089648,0.013200
55245.420310,0.079648,0.013200
55292.277250,0.129648,0.011000
55292.283230,0.139648,0.011000
55292.289210,0.149648,0.011000
55292.295150,0.139648,0.011000
55301.291030,0.139648,0.011000
55301.298620,0.139648,0.011000
55301.306320,0.139648,0.011000
55301.313960,0.139648,0.011000
55321.226490,0.179648,0.013200
55321.233330,0.189648,0.013200
55321.240240,0.179648,0.013200
55321.247200,0.169648,0.013200
55332.213470,0.179648,0.013200
55332.218560,0.199648,0.013200
55332.223710,0.169648,0.013200
55332.228880,0.179648,0.013200
55348.204900,0.179648,0.013200
55348.212300,0.189648,0.013200
55348.219790,0.199648,0.013200
55348.227280,0.209648,0.013200
55539.518930,0.159648,0.011000
55539.523650,0.179648,0.011000
55539.528360,0.149648,0.011000
55539.533110,0.149648,0.011000
55589.491870,0.149648,0.013200
55589.496520,0.129648,0.013200
55589.501220,0.149648,0.013200
55589.505970,0.149648,0.013200
55644.411160,0.149648,0.013200
55644.416870,0.159648,0.013200
55644.422630,0.169648,0.013200
55644.428430,0.179648,0.013200
55679.282960,0.139648,0.013200
55679.292600,0.139648,0.013200
55679.302260,0.139648,0.013200
55679.311900,0.139648,0.013200
55688.226130,0.089648,0.013200
55688.231230,0.089648,0.013200
55688.236370,0.109648,0.013200
55688.241530,0.079648,0.013200
55716.193550,0.069648,0.013200
55716.198730,0.059648,0.013200
55716.203940,0.089648,0.013200
55716.209130,0.099648,0.013200
55736.174980,0.069648,0.013200
55736.180090,0.079648,0.013200
55736.185240,0.049648,0.013200
55736.190440,0.089648,0.013200
55949.459880,0.019648,0.013200
55949.467880,0.059648,0.013200
55949.475880,0.019648,0.013200
55949.483940,0.049648,0.013200
55959.492500,-0.000352,0.013200
55959.498540,0.029648,0.013200
55959.504730,0.019648,0.013200
55959.510840,0.019648,0.013200
55979.462010,0.009648,0.013200
55979.469070,0.009648,0.013200
55979.476070,0.009648,0.013200
55979.483080,-0.030352,0.013200
55986.416520,-0.010352,0.011000
55986.423510,-0.020352,0.011000
55986.430540,-0.030352,0.011000
55986.437490,-0.040352,0.011000
55990.364280,-0.030352,0.013200
55990.368810,-0.000352,0.013200
55990.373450,-0.020352,0.013200
55990.378040,-0.010352,0.013200
56000.446640,-0.040352,0.013200
56000.451740,-0.020352,0.013200
56000.456820,-0.030352,0.013200
56000.461980,0.009648,0.013200
56011.264700,-0.040352,0.013200
56011.269830,-0.040352,0.013200
56011.274920,-0.040352,0.013200
56011.279980,-0.040352,0.013200
56019.321800,-0.030352,0.013200
56019.333640,-0.030352,0.013200
56019.345460,-0.020352,0.013200
56019.357350,-0.050352,0.013200
56040.284400,-0.030352,0.013200
56040.287230,-0.020352,0.013200
56040.290100,-0.050352,0.013200
56040.292950,-0.060352,0.013200
56047.172820,-0.060352,0.013200
56047.180180,-0.070352,0.013200
56047.187500,-0.070352,0.013200
56047.194970,-0.050352,0.013200
56060.182560,-0.060352,0.013200
56060.190440,-0.050352,0.013200
56060.199140,-0.060352,0.013200
56060.207140,-0.080352,0.013200
56068.225460,-0.100352,0.011000
56068.232920,-0.110352,0.011000
56068.240060,-0.100352,0.011000
56068.247040,-0.100352,0.011000
56073.159330,-0.060352,0.013200
56073.164370,-0.080352,0.013200
56073.169440,-0.060352,0.013200
56073.174460,-0.070352,0.013200
56300.504370,-0.130352,0.013200
56300.509470,-0.140352,0.013200
56300.514560,-0.130352,0.013200
56300.519720,-0.140352,0.013200
56346.409370,-0.140352,0.013200
56346.415820,-0.140352,0.013200
56346.422340,-0.130352,0.013200
56346.428750,-0.140352,0.013200
56356.322880,-0.110352,0.013200
56356.330760,-0.110352,0.013200
56356.338720,-0.100352,0.013200
56356.346640,-0.110352,0.013200
56385.324760,-0.110352,0.013200
56385.329870,-0.100352,0.013200
56385.335000,-0.110352,0.013200
56385.340090,-0.110352,0.013200
56389.366160,-0.120352,0.011000
56389.372110,-0.110352,0.011000
56389.378060,-0.120352,0.011000
56389.384030,-0.120352,0.011000
56401.316110,-0.100352,0.013200
56401.323890,-0.090352,0.013200
56401.331710,-0.080352,0.013200
56401.339590,-0.090352,0.013200
56413.239390,-0.110352,0.011000
56413.244750,-0.130352,0.011000
56413.250160,-0.130352,0.011000
56413.255570,-0.110352,0.011000
56413.293680,-0.090352,0.013200
56413.302450,-0.100352,0.013200
56413.311300,-0.090352,0.013200
56413.320190,-0.120352,0.013200
56425.223230,-0.090352,0.013200
56425.230510,-0.080352,0.013200
56425.237880,-0.060352,0.013200
56425.245220,-0.080352,0.013200
56430.205960,-0.080352,0.013200
56430.212800,-0.060352,0.013200
56430.219600,-0.070352,0.013200
56430.226410,-0.070352,0.013200
56442.153460,-0.100352,0.013200
56442.160750,-0.100352,0.013200
56442.168020,-0.100352,0.013200
56442.175330,-0.090352,0.013200
