MJD, Mag, MagErr
52668.516557,-0.194543,0.067423
52672.473212,-0.112555,0.115294
52673.410052,-0.193488,0.014026
52704.447700,-0.172183,0.037945
52705.406900,-0.138678,0.011379
52708.401530,-0.127441,0.010184
52729.364806,-0.142000,0.016443
52734.330829,-0.218349,0.170974
52736.300577,-0.202630,0.025915
52757.289870,-0.136603,0.011308
52758.295928,-0.196690,0.029197
52765.190077,-0.092857,0.371295
52790.232109,-0.183576,0.050760
52815.191444,-0.058794,0.075855
52822.190009,-0.076873,0.113598
52996.483336,-0.080027,0.015851
53028.471866,-0.047479,0.016261
53032.429155,-0.029972,0.009189
53055.415926,0.235197,0.097848
53060.391707,-0.062920,0.009754
53081.374979,-0.047362,0.012042
53082.424741,-0.021342,0.010337
53084.378095,-0.029628,0.008469
53091.353428,-0.037057,0.008274
53092.336520,-0.045429,0.016381
53093.341553,-0.063033,0.008501
53094.302438,-0.063180,0.004898
53112.266546,-0.005621,0.019696
53113.335295,0.049128,0.032357
53115.333157,0.014419,0.008348
53140.221050,0.046348,0.006842
53141.285049,-0.003226,0.022851
53143.304502,0.042264,0.024138
53168.180613,0.060466,0.016454
53170.183773,0.067419,0.009131
53172.191910,0.080816,0.054744
53353.495030,0.114909,0.011280
53383.502306,0.073550,0.018047
53402.470252,0.031458,0.010214
53403.464291,0.076345,0.008988
53405.429850,0.031905,0.006583
53446.463650,0.103238,0.014101
53464.363933,0.091922,0.018952
53467.354950,0.092215,0.122375
53478.295363,0.068443,0.024429
53506.214317,0.073666,0.015453
53745.429715,0.092229,0.013938
53758.490454,0.061105,0.015809
53789.431398,0.074358,0.102783
53792.428188,0.113612,0.033368
53802.416859,0.133732,0.038969
53816.380639,0.090703,0.050349
53821.392049,0.153488,0.044475
53824.446292,0.252168,0.260552
53828.413310,0.207343,0.070270
53831.348514,0.090606,0.009727
53846.322574,0.129827,0.007004
53851.317227,0.126586,0.011397
53857.347887,0.107944,0.018985
53879.251207,0.048964,0.017945
53885.241236,0.078886,0.019204
53891.211988,0.131886,0.067515
54148.371340,0.033209,0.012923
54153.410350,0.009029,0.029290
54158.367000,0.009018,0.015674
54174.396227,0.017374,0.067163
54177.368885,0.059250,0.122326
54180.411707,0.030540,0.012181
54205.334831,-0.002051,0.005819
54208.327106,0.019790,0.010925
54212.334396,0.003085,0.017084
54230.213600,-0.076515,0.089608
54234.265687,-0.017416,0.041708
54242.251800,-0.016540,0.031106
54265.177068,-0.080470,0.017452
54271.185257,-0.020766,0.012484
54481.435803,-0.098725,0.009588
54506.421606,-0.098098,0.015469
54522.479400,-0.176359,0.029557
54529.405551,-0.109700,0.009560
54533.461476,-0.114633,0.025625
54535.406417,-0.128104,0.013621
54553.377458,-0.098873,0.004678
54562.378400,-0.118175,0.014464
54567.283336,-0.107364,0.010327
54570.267255,-0.110832,0.009042
54584.324340,-0.089571,0.019920
54591.315340,-0.109222,0.014860
54599.225016,-0.137153,0.012675
54614.234081,-0.136858,0.005122
54623.192269,-0.154828,0.031791
54829.484863,-0.114960,0.014791
54838.481711,-0.094482,0.021671
54853.438873,-0.132232,0.142215
54859.427486,-0.063525,0.009429
54868.408166,-0.134697,0.039509
54885.389896,-0.064017,0.009810
54915.309035,-0.024036,0.006002
54919.378438,-0.074708,0.030078
54945.319155,-0.054667,0.012100
54952.237286,-0.063878,0.011537
55209.462411,0.054785,0.050450
55214.423079,0.059637,0.009803
55244.423264,0.073509,0.012053
55264.474384,0.099218,0.009324
55274.364144,0.107461,0.032777
55293.388694,0.116723,0.020904
55299.347185,0.162307,0.004428
55308.152456,0.138874,0.018738
55322.312389,0.147726,0.063420
55352.240294,0.179118,0.023065
55358.186090,0.184404,0.011906
55575.503157,0.182296,0.019234
55602.478872,0.112202,0.038116
55617.493756,0.159710,0.013610
55633.350095,0.173390,0.017515
55646.442299,0.175269,0.015331
55652.391701,0.142096,0.006284
55662.281579,0.116876,0.010752
55676.320819,0.116114,0.010694
55682.323698,0.117879,0.123029
55689.218843,0.113417,0.012196
55705.244683,0.103152,0.010227
55711.241419,0.089772,0.011215
55924.498444,0.043999,0.013841
55956.431973,0.006028,0.015317
55972.504375,0.029231,0.009664
55980.420826,-0.004290,0.021030
55986.360644,-0.008743,0.014153
56002.410431,-0.021062,0.008926
56004.361256,-0.019536,0.156209
56010.399720,-0.021922,0.006248
56015.339942,-0.009424,0.009512
56030.359106,-0.014601,0.011234
56046.259921,-0.053587,0.007295
56066.238014,-0.048472,0.011109
56073.180269,-0.056242,0.009113
56090.180472,-0.075704,0.024076
