MJD, Mag, MagErr
53496.216195,15.037500,0.015000
53525.210085,15.042500,0.020616
53532.230352,15.045000,0.010000
53555.172077,15.057500,0.009574
53743.491655,15.097500,0.005000
53765.533125,15.092500,0.009574
53776.486122,15.102500,0.018930
53845.338983,15.075000,0.010000
53863.324078,15.062500,0.034034
53875.249225,15.082500,0.005000
53886.191065,15.055000,0.012910
53887.175098,15.047500,0.005000
53903.235842,14.990000,0.018257
53906.204945,15.055000,0.007071
54094.522043,15.035000,0.005774
54115.503735,15.047500,0.009574
54127.469420,15.027500,0.009574
54201.267505,15.002500,0.009574
54241.253348,14.972500,0.017078
54450.521918,14.902500,0.009574
54480.497442,14.930000,0.008165
54515.396467,14.895000,0.012910
54560.356593,14.897500,0.012583
54567.314170,14.865000,0.012910
54569.390555,14.857500,0.005000
54581.302545,14.877500,0.009574
54608.176235,14.820000,0.021602
54829.548355,14.887500,0.015000
54859.456627,14.907500,0.005000
54867.437825,14.912500,0.009574
54917.411295,14.930000,0.008165
54937.320652,14.927500,0.012583
54942.255323,14.892500,0.005000
54950.272757,14.917500,0.009574
54982.192115,14.900000,0.008165
55240.470913,15.070000,0.014142
55245.409870,15.057500,0.009574
55292.286210,15.120000,0.008165
55301.302483,15.120000,0.000000
55321.236815,15.160000,0.008165
55332.221155,15.162500,0.012583
55348.216067,15.175000,0.012910
55539.526012,15.140000,0.014142
55589.498895,15.125000,0.010000
55644.419773,15.145000,0.012910
55679.297430,15.120000,0.000000
55688.233815,15.072500,0.012583
55716.201338,15.060000,0.018257
55736.182688,15.052500,0.017078
55949.471895,15.017500,0.020616
55959.501652,14.997500,0.012583
55979.472558,14.980000,0.020000
55986.427015,14.955000,0.012910
55990.371145,14.965000,0.012910
56000.454295,14.960000,0.021602
56011.272357,14.940000,0.000000
56019.339562,14.947500,0.012583
56040.288670,14.940000,0.018257
56047.183868,14.917500,0.009574
56060.194820,14.917500,0.012583
56068.236370,14.877500,0.005000
56073.166900,14.912500,0.009574
56300.512030,14.845000,0.005774
56346.419070,14.842500,0.005000
56356.334750,14.872500,0.005000
56385.332430,14.872500,0.005000
56389.375090,14.862500,0.005000
56401.327825,14.890000,0.008165
56413.277186,14.868197,0.016036
56425.234210,14.902500,0.012583
56430.216192,14.910000,0.008165
56442.164390,14.882500,0.005000
