MJD, Mag, MagErr
53496.204980,0.198613,0.060000
53496.212490,0.206279,0.060000
53496.219930,0.219170,0.060000
53496.227380,0.239201,0.060000
53525.196320,0.187413,0.060000
53525.205510,0.181626,0.060000
53525.214720,0.187206,0.060000
53525.223790,0.180778,0.060000
53532.219820,0.119854,0.060000
53532.226830,0.132579,0.060000
53532.233850,0.136419,0.060000
53532.240910,0.129429,0.060000
53555.159990,0.133663,0.060000
53555.168050,0.156176,0.060000
53555.176100,0.145978,0.060000
53555.184170,0.144640,0.060000
53743.482760,0.047270,0.060000
53743.488700,0.042895,0.060000
53743.494620,0.046869,0.060000
53743.500540,0.049877,0.060000
53765.523440,0.055855,0.060000
53765.529820,0.081026,0.060000
53765.536390,0.086169,0.060000
53765.542850,0.054297,0.060000
53776.475600,0.102456,0.060000
53776.482610,0.074766,0.060000
53776.489620,0.123373,0.060000
53776.496660,0.099188,0.060000
53845.328440,0.025257,0.060000
53845.335490,-0.002496,0.060000
53845.342500,0.012513,0.060000
53845.349500,0.039164,0.060000
53863.322900,0.054434,0.090000
53863.323640,0.049079,0.090000
53863.324510,0.027019,0.090000
53863.325260,0.023389,0.090000
53875.237710,0.028468,0.060000
53875.245400,0.038540,0.060000
53875.253070,0.003751,0.060000
53875.260720,0.035382,0.060000
53886.180290,0.020614,0.050000
53886.187490,0.034605,0.050000
53886.194640,0.028133,0.050000
53886.201840,0.022729,0.050000
53887.164980,0.036104,0.050000
53887.171770,0.039438,0.050000
53887.178440,0.060573,0.050000
53887.185200,0.026544,0.050000
53903.234300,0.003344,0.090000
53903.235310,-0.018918,0.090000
53903.236360,-0.013774,0.090000
53903.237400,-0.015508,0.090000
53906.198010,-0.013361,0.060000
53906.211880,-0.017913,0.060000
54094.509430,-0.105759,0.060000
54094.517830,-0.107745,0.060000
54094.526220,-0.098885,0.060000
54094.534690,-0.086821,0.060000
54115.488970,-0.114637,0.060000
54115.498340,-0.081190,0.060000
54115.507920,-0.084825,0.060000
54115.519710,-0.075997,0.060000
54127.454060,-0.126320,0.060000
54127.464310,-0.151197,0.060000
54127.474540,-0.128673,0.060000
54127.484770,-0.126868,0.060000
54201.254490,-0.156597,0.060000
54201.263160,-0.168467,0.060000
54201.271850,-0.148358,0.060000
54201.280520,-0.136731,0.060000
54241.239500,-0.117751,0.060000
54241.248700,-0.142296,0.060000
54241.257910,-0.124350,0.060000
54241.267280,-0.121797,0.060000
54450.512710,-0.088358,0.060000
54450.518910,-0.106497,0.060000
54450.524990,-0.113855,0.060000
54450.531060,-0.091447,0.060000
54480.487630,-0.101529,0.060000
54480.494210,-0.091943,0.060000
54480.500700,-0.086656,0.060000
54480.507230,-0.072238,0.060000
54515.390080,-0.076245,0.060000
54515.394330,-0.097113,0.060000
54515.398600,-0.078427,0.060000
54515.402860,-0.092503,0.060000
54560.348510,-0.007698,0.060000
54560.353890,-0.035948,0.060000
54560.359300,-0.024865,0.060000
54560.364670,0.002713,0.060000
54567.300740,-0.018347,0.060000
54567.309680,-0.029804,0.060000
54567.318650,-0.022974,0.060000
54567.327610,0.005353,0.060000
54569.381380,-0.023472,0.050000
54569.387460,-0.051212,0.050000
54569.393580,-0.037843,0.050000
54569.399800,-0.026752,0.050000
54581.292850,-0.102613,0.060000
54581.299330,-0.086653,0.060000
54581.305780,-0.090382,0.060000
54581.312220,-0.085378,0.060000
54608.170220,-0.132348,0.050000
54608.174410,-0.153802,0.050000
54608.178260,-0.152907,0.050000
54608.182050,-0.120528,0.050000
54829.542690,-0.023059,0.060000
54829.546520,-0.036829,0.060000
54829.550210,-0.005413,0.060000
54829.554000,-0.008163,0.060000
54859.448950,-0.038992,0.060000
54859.453730,-0.014244,0.060000
54859.458520,-0.010006,0.060000
54859.465310,-0.033395,0.060000
54867.428830,-0.010987,0.050000
54867.434880,-0.019050,0.050000
54867.440790,-0.000120,0.050000
54867.446800,-0.026582,0.050000
54917.399950,-0.001158,0.050000
54917.407520,0.012669,0.050000
54917.415070,0.004963,0.050000
54917.422640,0.012683,0.050000
54937.313390,0.068187,0.060000
54937.318260,0.049704,0.060000
54937.323110,0.036999,0.060000
54937.327850,0.071243,0.060000
54942.244030,0.035536,0.050000
54942.251580,0.042560,0.050000
54942.259050,0.032600,0.050000
54942.266630,0.018525,0.050000
54950.259720,0.022206,0.060000
54950.268410,0.051093,0.060000
54950.277120,0.031796,0.060000
54950.285780,0.034089,0.060000
54982.184000,0.054101,0.060000
54982.189400,0.073113,0.060000
54982.194820,0.064575,0.060000
54982.200240,0.059148,0.060000
55240.459530,0.099062,0.060000
55240.467140,0.114717,0.060000
55240.474710,0.077386,0.060000
55240.482270,0.082394,0.060000
55245.399460,0.128343,0.060000
55245.406370,0.129210,0.060000
55245.413340,0.105571,0.060000
55245.420310,0.127032,0.060000
55292.277250,0.134823,0.050000
55292.283230,0.115624,0.050000
55292.289210,0.124199,0.050000
55292.295150,0.144470,0.050000
55301.291030,0.120434,0.050000
55301.298620,0.105062,0.050000
55301.306320,0.118193,0.050000
55301.313960,0.110053,0.050000
55321.226490,0.107253,0.060000
55321.233330,0.116405,0.060000
55321.240240,0.111704,0.060000
55321.247200,0.106698,0.060000
55332.213470,0.075176,0.060000
55332.218560,0.067795,0.060000
55332.223710,0.060039,0.060000
55332.228880,0.062046,0.060000
55348.204900,0.117733,0.060000
55348.212300,0.108092,0.060000
55348.219790,0.098135,0.060000
55348.227280,0.101935,0.060000
55539.518930,0.095024,0.050000
55539.523650,0.098307,0.050000
55539.528360,0.100337,0.050000
55539.533110,0.111031,0.050000
55589.491870,0.063426,0.060000
55589.496520,0.071469,0.060000
55589.501220,0.058665,0.060000
55589.505970,0.037978,0.060000
55644.411160,0.036960,0.060000
55644.416870,0.064432,0.060000
55644.422630,0.045114,0.060000
55644.428430,0.063665,0.060000
55679.282960,0.057089,0.060000
55679.292600,0.042699,0.060000
55679.302260,0.077494,0.060000
55679.311900,0.069793,0.060000
55688.226130,0.060333,0.060000
55688.231230,0.038261,0.060000
55688.236370,0.037745,0.060000
55688.241530,0.054008,0.060000
55716.193550,0.084123,0.060000
55716.198730,0.075711,0.060000
55716.203940,0.101932,0.060000
55716.209130,0.081938,0.060000
55736.174980,0.086227,0.060000
55736.180090,0.082568,0.060000
55736.185240,0.099339,0.060000
55736.190440,0.083104,0.060000
55949.459880,-0.051673,0.060000
55949.467880,-0.076950,0.060000
55949.475880,-0.057929,0.060000
55949.483940,-0.059730,0.060000
55959.492500,-0.051566,0.060000
55959.498540,-0.049891,0.060000
55959.504730,-0.063352,0.060000
55959.510840,-0.046616,0.060000
55979.462010,0.009777,0.060000
55979.469070,-0.021455,0.060000
55979.476070,-0.001331,0.060000
55979.483080,-0.019895,0.060000
55986.416520,-0.061519,0.050000
55986.423510,-0.069968,0.050000
55986.430540,-0.053162,0.050000
55986.437490,-0.057772,0.050000
55990.364280,-0.032096,0.060000
55990.368810,-0.041807,0.060000
55990.373450,-0.057675,0.060000
55990.378040,-0.048041,0.060000
56000.446640,-0.048915,0.060000
56000.451740,-0.038498,0.060000
56000.456820,-0.062714,0.060000
56000.461980,-0.076281,0.060000
56011.264700,-0.016978,0.060000
56011.269830,-0.033239,0.060000
56011.274920,-0.032388,0.060000
56011.279980,-0.019172,0.060000
56019.321800,-0.047129,0.060000
56019.333640,-0.044563,0.060000
56019.345460,-0.028204,0.060000
56019.357350,-0.025244,0.060000
56040.284400,-0.052418,0.060000
56040.287230,-0.061201,0.060000
56040.290100,-0.074033,0.060000
56040.292950,-0.056777,0.060000
56047.172820,-0.010246,0.060000
56047.180180,-0.014518,0.060000
56047.187500,-0.022190,0.060000
56047.194970,-0.040658,0.060000
56060.182560,-0.049994,0.060000
56060.190440,-0.050158,0.060000
56060.199140,-0.101830,0.060000
56060.207140,-0.055953,0.060000
56068.225460,0.002160,0.050000
56068.232920,-0.004072,0.050000
56068.240060,-0.009264,0.050000
56068.247040,0.010054,0.050000
56073.159330,-0.024861,0.060000
56073.164370,-0.028740,0.060000
56073.169440,-0.009166,0.060000
56073.174460,-0.019598,0.060000
56300.504370,-0.130753,0.060000
56300.509470,-0.113541,0.060000
56300.514560,-0.128766,0.060000
56300.519720,-0.101848,0.060000
56346.409370,-0.145571,0.060000
56346.415820,-0.153363,0.060000
56346.422340,-0.157646,0.060000
56346.428750,-0.145842,0.060000
56356.322880,-0.108907,0.060000
56356.330760,-0.110291,0.060000
56356.338720,-0.101960,0.060000
56356.346640,-0.091685,0.060000
56385.324760,-0.124661,0.060000
56385.329870,-0.107580,0.060000
56385.335000,-0.118255,0.060000
56385.340090,-0.086139,0.060000
56389.366160,-0.105803,0.050000
56389.372110,-0.114873,0.050000
56389.378060,-0.109288,0.050000
56389.384030,-0.119161,0.050000
56401.316110,-0.157995,0.060000
56401.323890,-0.143271,0.060000
56401.331710,-0.142870,0.060000
56401.339590,-0.135618,0.060000
56413.239390,-0.159100,0.050000
56413.244750,-0.167302,0.050000
56413.250160,-0.167376,0.050000
56413.255570,-0.175450,0.050000
56413.293680,-0.127255,0.060000
56413.302450,-0.152329,0.060000
56413.311300,-0.165842,0.060000
56413.320190,-0.152500,0.060000
56425.223230,-0.115320,0.060000
56425.230510,-0.110791,0.060000
56425.237880,-0.103153,0.060000
56425.245220,-0.105776,0.060000
56430.205960,-0.154456,0.060000
56430.212800,-0.156903,0.060000
56430.219600,-0.133323,0.060000
56430.226410,-0.147291,0.060000
56442.153460,-0.130908,0.060000
56442.160750,-0.122904,0.060000
56442.168020,-0.143856,0.060000
56442.175330,-0.130413,0.060000
