MJD, Mag, MagErr
53527.207178,0.168689,0.036134
53761.836967,0.072003,0.026542
53871.455690,0.029861,0.015412
53904.225543,-0.013556,0.008157
54094.522043,-0.099803,0.009450
54121.486577,-0.111213,0.027325
54221.260426,-0.139543,0.017894
54465.509680,-0.094065,0.012968
54558.752066,-0.047861,0.035904
54608.176235,-0.139896,0.016276
54852.147603,-0.018300,0.012880
54945.890428,0.035898,0.022486
55259.388998,0.117096,0.020652
55325.744130,0.100586,0.020730
55564.512454,0.083433,0.025366
55670.650339,0.053966,0.013692
55726.192012,0.086868,0.009038
55973.048853,-0.046844,0.022258
56040.017105,-0.033983,0.024934
56355.594674,-0.118270,0.019735
56420.916165,-0.143496,0.020439
