MJD, Mag, MagErr
52668.508947,14.910630,0.013160
52668.524167,14.815280,0.010200
52672.459213,14.945540,0.024290
52672.487211,14.782490,0.084340
52673.376285,14.843790,0.014430
52673.405845,14.836360,0.010700
52673.421655,14.867320,0.011490
52673.436424,14.858660,0.010230
52704.414549,14.925830,0.012200
52704.430602,14.901040,0.012200
52704.446204,14.881770,0.011420
52704.446319,14.827080,0.011490
52704.460625,14.900970,0.011760
52704.460741,14.841110,0.012180
52704.474861,14.840080,0.011990
52705.380197,14.911290,0.007680
52705.393414,14.894860,0.007350
52705.406794,14.899130,0.007530
52705.420428,14.924000,0.008110
52705.433669,14.908760,0.008160
52708.373924,14.933650,0.007400
52708.387512,14.921300,0.007300
52708.401134,14.908680,0.007370
52708.415521,14.917410,0.007800
52708.429560,14.909520,0.007480
52729.341748,14.918920,0.008100
52729.353264,14.901940,0.009000
52729.364873,14.911890,0.009990
52729.376331,14.875650,0.009630
52729.387812,14.904050,0.008850
52734.318218,14.822410,0.029350
52734.330752,14.709810,0.083470
52734.343519,15.045730,0.098570
52736.255590,14.831710,0.010920
52736.267419,14.849090,0.010180
52736.279225,14.868680,0.010160
52736.291030,14.889610,0.010920
52736.303704,14.834760,0.010580
52736.316146,14.825790,0.010700
52736.339850,14.824800,0.011950
52736.351655,14.811090,0.011210
52757.265880,14.923720,0.007840
52757.277859,14.909640,0.007790
52757.289884,14.902690,0.008730
52757.301875,14.909200,0.008090
52757.313854,14.892740,0.009780
52758.263194,14.868390,0.009330
52758.289201,14.859740,0.010840
52758.289306,14.801840,0.010830
52758.301227,14.839090,0.010200
52758.301331,14.817830,0.010420
52758.313565,14.877120,0.010460
52758.313669,14.872350,0.010600
52765.177558,14.895250,0.006920
52765.190069,15.573410,0.030560
52765.202604,14.972310,0.006040
52790.215937,14.853750,0.013940
52790.226690,14.794870,0.070440
52790.237350,14.917030,0.033260
52790.248461,14.874010,0.043150
52815.170810,14.920100,0.015250
52815.181285,15.016410,0.015840
52815.191539,15.079690,0.017720
52815.201690,14.904790,0.016440
52815.211898,15.036240,0.016730
52822.169549,14.986690,0.020970
52822.180058,14.937010,0.018640
52822.190104,14.996880,0.022120
52822.200127,14.786010,0.029450
52822.210208,15.096920,0.025090
52996.456516,14.957240,0.007790
52996.469919,14.974240,0.007860
52996.482697,14.969440,0.007040
52996.497106,14.988020,0.007740
52996.510440,14.946760,0.006430
53028.441331,15.010500,0.005850
53028.456123,14.971440,0.011860
53028.488588,14.991590,0.006200
53028.501424,14.997520,0.018790
53032.404086,15.008910,0.008380
53032.416424,15.029200,0.008030
53032.429271,15.020650,0.008270
53032.441794,15.007560,0.008100
53032.454201,15.011370,0.008110
53055.403866,15.357310,0.043230
53055.415845,15.228370,0.049360
53055.428067,15.165350,0.077110
53060.373565,14.973030,0.006770
53060.385833,14.996150,0.006990
53060.397708,14.979380,0.007190
53060.409722,14.982640,0.007430
53081.351898,14.980990,0.007660
53081.363657,14.995650,0.007340
53081.375150,15.004820,0.008020
53081.386458,15.013440,0.008590
53081.397731,15.000450,0.008040
53082.402245,15.019660,0.007160
53082.413611,15.010380,0.007240
53082.424734,15.029500,0.008250
53082.436065,15.035990,0.008810
53082.447049,15.031720,0.007670
53084.355451,15.014230,0.006820
53084.366713,15.029580,0.006360
53084.377905,15.016720,0.006070
53084.389641,15.006780,0.006430
53084.400764,15.012280,0.006200
53091.332986,15.013200,0.006150
53091.343137,15.002780,0.005870
53091.353866,15.005530,0.005920
53091.363634,15.002480,0.006070
53091.373519,15.021770,0.006690
53092.326065,15.004220,0.007790
53092.336759,15.013620,0.007540
53092.346736,14.981740,0.007800
53093.321609,14.997290,0.006680
53093.331412,14.977800,0.006580
53093.341400,14.976050,0.006490
53093.351412,14.979960,0.007100
53093.361933,14.982010,0.006630
53094.292558,14.979800,0.008220
53094.302419,14.987940,0.008120
53094.312338,14.979150,0.008560
53112.245208,15.028520,0.008180
53112.255937,15.044990,0.008220
53112.266470,15.042150,0.008100
53112.277373,15.048010,0.009160
53112.287743,15.000150,0.035660
53113.329769,15.057170,0.035220
53113.340822,15.102930,0.016450
53115.308738,15.050360,0.007080
53115.330266,15.056790,0.007200
53115.341366,15.064730,0.007440
53115.352257,15.069150,0.007320
53140.206238,15.087470,0.009570
53140.216319,15.085210,0.009920
53140.226146,15.100320,0.009450
53140.235498,15.094180,0.009660
53141.266887,15.015730,0.007430
53141.275972,15.027990,0.007590
53141.285012,15.072620,0.007840
53141.294086,15.042930,0.008150
53141.303287,15.058620,0.008360
53143.290475,15.074540,0.007860
53143.300116,15.067580,0.007160
53143.309190,15.119640,0.008610
53143.318229,15.101410,0.008600
53168.169329,15.090270,0.012090
53168.181157,15.103680,0.012330
53168.191354,15.123000,0.011690
53170.173519,15.108000,0.008050
53170.183912,15.107990,0.007910
53170.193889,15.123810,0.008260
53172.171748,15.129380,0.009420
53172.181725,15.118650,0.008450
53172.191829,15.114640,0.008610
53172.202257,15.244680,0.024360
53172.211991,15.130090,0.010210
53353.468773,15.143130,0.013770
53353.482187,15.172740,0.012930
53353.495023,15.163870,0.011800
53353.507870,15.165470,0.011110
53353.521296,15.155830,0.010130
53383.476528,15.105850,0.010940
53383.489375,15.125320,0.011080
53383.502222,15.112220,0.010190
53383.515116,15.109350,0.010910
53383.528287,15.150030,0.012120
53402.444537,15.077820,0.018990
53402.457604,15.080080,0.019830
53402.469653,15.074710,0.019070
53402.483669,15.062840,0.018860
53402.495799,15.091210,0.019630
53403.442882,15.119190,0.021720
53403.457593,15.115610,0.018800
53403.470370,15.135240,0.019130
53403.486319,15.117720,0.018390
53405.417674,15.082440,0.010340
53405.429769,15.070070,0.010450
53405.442106,15.080160,0.010960
53446.442257,15.148130,0.009440
53446.453148,15.152260,0.009500
53446.463727,15.168670,0.009810
53446.474271,15.133580,0.011210
53446.484850,15.136070,0.010570
53464.343426,15.164720,0.010480
53464.353507,15.145020,0.009890
53464.364144,15.113310,0.008920
53464.374248,15.131170,0.009310
53464.384340,15.143360,0.010430
53467.280266,15.116250,0.010510
53467.290231,15.119520,0.013960
53467.300359,15.231150,0.017290
53467.310822,15.160690,0.010950
53467.321238,15.063090,0.010770
53467.389965,15.164260,0.011450
53467.399769,15.134210,0.067370
53467.409340,15.104630,0.013510
53467.418981,15.497010,0.028550
53467.428530,15.129900,0.016500
53478.277072,15.119720,0.015970
53478.286285,15.100670,0.014970
