MJD, Mag, MagErr
52668.516557,0.168124,0.067423
52672.473212,0.148995,0.115294
52673.410052,0.098805,0.014026
52704.447700,0.074718,0.037945
52705.406900,0.085546,0.011379
52708.401530,0.124133,0.010184
52729.364806,0.080240,0.016443
52734.330829,0.047105,0.170974
52736.300577,0.067002,0.025915
52757.289870,0.060049,0.011308
52758.295928,0.056683,0.029197
52765.190077,0.282973,0.371295
52790.232109,0.065972,0.050760
52815.191444,-0.002624,0.075855
52822.190009,0.237374,0.113598
52996.483336,0.000145,0.015851
53028.471866,-0.001345,0.016261
53032.429155,0.004338,0.009189
53055.415926,-0.159465,0.097848
53060.391707,-0.039073,0.009754
53081.374979,-0.064171,0.012042
53082.424741,-0.106016,0.010337
53084.378095,-0.042150,0.008469
53091.353428,-0.067933,0.008274
53092.336520,-0.045831,0.016381
53093.341553,-0.055821,0.008501
53094.302438,-0.069391,0.004898
53112.266546,-0.052945,0.019696
53113.335295,-0.037169,0.032357
53115.333157,-0.072474,0.008348
53140.221050,-0.013541,0.006842
53141.285049,0.013618,0.022851
53143.304502,-0.015252,0.024138
53168.180613,0.004886,0.016454
53170.183773,-0.027699,0.009131
53172.191910,0.011437,0.054744
53353.495030,-0.014159,0.011280
53383.502306,0.049809,0.018047
53402.470252,-0.006761,0.010214
53403.464291,0.032995,0.008988
53405.429850,0.019613,0.006583
53446.463650,0.030485,0.014101
53464.363933,0.074025,0.018952
53467.354950,0.186504,0.122375
53478.295363,0.018425,0.024429
53506.214317,-0.003359,0.015453
53745.429715,-0.039700,0.013938
53758.490454,0.004607,0.015809
53789.431398,-0.021877,0.102783
53792.428188,-0.029528,0.033368
53802.416859,-0.012990,0.038969
53816.380639,0.045621,0.050349
53821.392049,-0.007104,0.044475
53824.446292,0.076105,0.260552
53828.413310,-0.171527,0.070270
53831.348514,-0.044933,0.009727
53846.322574,-0.064017,0.007004
53851.317227,-0.070060,0.011397
53857.347887,-0.081122,0.018985
53879.251207,-0.071317,0.017945
53885.241236,-0.078351,0.019204
53891.211988,-0.022409,0.067515
54148.371340,0.047975,0.012923
54153.410350,-0.017548,0.029290
54158.367000,0.068369,0.015674
54174.396227,0.130924,0.067163
54177.368885,0.063464,0.122326
54180.411707,0.100421,0.012181
54205.334831,0.077094,0.005819
54208.327106,0.053309,0.010925
54212.334396,0.089883,0.017084
54230.213600,0.268585,0.089608
54234.265687,0.043078,0.041708
54242.251800,0.024416,0.031106
54265.177068,0.088634,0.017452
54271.185257,0.072774,0.012484
54481.435803,-0.031208,0.009588
54506.421606,0.026916,0.015469
54522.479400,0.005904,0.029557
54529.405551,-0.013752,0.009560
54533.461476,-0.026262,0.025625
54535.406417,-0.024757,0.013621
54553.377458,0.014644,0.004678
54562.378400,-0.022900,0.014464
54567.283336,0.001462,0.010327
54570.267255,0.018935,0.009042
54584.324340,-0.019849,0.019920
54591.315340,0.003363,0.014860
54599.225016,-0.044577,0.012675
54614.234081,-0.002409,0.005122
54623.192269,-0.048913,0.031791
54829.484863,0.036453,0.014791
54838.481711,0.043664,0.021671
54853.438873,-0.025045,0.142215
54859.427486,-0.019045,0.009429
54868.408166,0.053386,0.039509
54885.389896,0.012898,0.009810
54915.309035,0.066646,0.006002
54919.378438,0.057388,0.030078
54945.319155,-0.016267,0.012100
54952.237286,0.043425,0.011537
55209.462411,-0.005913,0.050450
55214.423079,0.040834,0.009803
55244.423264,0.005257,0.012053
55264.474384,0.032010,0.009324
55274.364144,0.060086,0.032777
55293.388694,0.069953,0.020904
55299.347185,0.065734,0.004428
55308.152456,0.057035,0.018738
55322.312389,0.062138,0.063420
55352.240294,0.059530,0.023065
55358.186090,0.032308,0.011906
55575.503157,0.054312,0.019234
55602.478872,-0.009686,0.038116
55617.493756,-0.045562,0.013610
55633.350095,-0.015042,0.017515
55646.442299,-0.006981,0.015331
55652.391701,-0.002809,0.006284
55662.281579,0.043344,0.010752
55676.320819,0.058670,0.010694
55682.323698,0.269646,0.123029
55689.218843,0.053554,0.012196
55705.244683,0.071653,0.010227
55711.241419,0.047195,0.011215
55924.498444,0.015703,0.013841
55956.431973,-0.048696,0.015317
55972.504375,-0.022481,0.009664
55980.420826,0.008418,0.021030
55986.360644,-0.035516,0.014153
56002.410431,-0.026369,0.008926
56004.361256,-0.133903,0.156209
56010.399720,-0.043204,0.006248
56015.339942,-0.016207,0.009512
56030.359106,-0.018715,0.011234
56046.259921,0.004068,0.007295
56066.238014,0.010052,0.011109
56073.180269,0.029216,0.009113
56090.180472,-0.065731,0.024076
