MJD, Mag, MagErr
56618.648000,15.122000,0.041090
56640.589000,15.157000,0.042080
56648.570000,15.200000,0.043340
56656.548000,15.245000,0.044720
56674.547000,15.198000,0.043280
56700.449000,15.050000,0.039160
56740.335000,15.183000,0.042840
56756.292000,15.066000,0.039580
56770.370000,15.160000,0.042170
56784.313000,15.147000,0.041800
56787.406000,15.150000,0.041880
56794.379000,15.106000,0.040650
56797.358000,15.154000,0.042000
56799.359000,15.186000,0.042930
56802.341000,15.106000,0.040650
56805.350000,15.182000,0.042810
56812.302000,15.231000,0.044280
56820.310000,15.082000,0.040000
56822.310000,15.150000,0.041880
56823.291000,15.126000,0.041210
56827.292000,15.251000,0.044900
56829.293000,15.170000,0.042460
56982.650000,15.233000,0.044340
56998.630000,15.238000,0.044500
57009.595000,15.230000,0.044250
57031.556000,15.099000,0.040460
57039.552000,15.203000,0.043430
57042.549000,15.219000,0.043920
57044.552000,15.169000,0.042430
57046.536000,15.102000,0.040540
57050.538000,15.208000,0.043580
57055.531000,15.376000,0.049040
57065.458000,15.234000,0.044370
57072.518000,15.262000,0.045250
57082.422000,15.193000,0.043130
57084.486000,15.140000,0.041600
57102.507000,15.289000,0.046110
57103.466000,15.188000,0.042990
57106.448000,15.200000,0.043340
57109.409000,15.207000,0.043550
57111.401000,15.190000,0.043050
57113.410000,15.170000,0.042460
57122.374000,15.228000,0.044190
57148.268000,15.225000,0.044100
57179.280000,15.191000,0.043070
57359.647000,15.244000,0.044680
57365.625000,15.309000,0.046770
57368.622000,15.290000,0.046150
57369.615000,15.294000,0.046280
57379.337000,15.199000,0.046180
57380.333000,15.373000,0.052270
57387.355000,15.272000,0.048630
57395.341000,15.249000,0.047840
57396.341000,15.229000,0.047170
57398.281000,15.237000,0.047430
57399.587000,15.309000,0.046770
57402.331000,15.250000,0.047870
57404.533000,15.281000,0.045860
57407.515000,15.395000,0.049710
57410.314000,15.260000,0.048210
57411.506000,15.211000,0.043670
57412.605000,15.209000,0.043610
57419.582000,15.369000,0.048800
57420.499000,15.381000,0.049220
57422.331000,15.209000,0.046500
57424.343000,15.240000,0.047530
57425.342000,15.249000,0.047840
57426.349000,15.282000,0.048970
57427.353000,15.265000,0.048380
57428.328000,15.269000,0.048520
57431.342000,15.294000,0.049390
57433.337000,15.311000,0.050000
57434.337000,15.283000,0.049010
57435.336000,15.261000,0.048250
57436.181000,15.300000,0.049610
57437.388000,15.290000,0.049250
57438.284000,15.230000,0.047200
57439.174000,15.398000,0.053230
57447.409000,15.368000,0.052090
57448.392000,15.297000,0.049500
57451.294000,15.279000,0.048870
57455.302000,15.288000,0.049180
57458.231000,15.280000,0.048900
57462.372000,15.276000,0.045690
57463.480000,15.327000,0.047370
57467.356000,15.355000,0.048320
57468.380000,15.242000,0.047600
57475.214000,15.316000,0.050180
57478.343000,15.193000,0.045980
57479.242000,15.205000,0.046370
57481.254000,15.302000,0.049680
57485.237000,15.368000,0.052090
57491.280000,15.343000,0.047910
57492.315000,15.397000,0.049780
57495.388000,15.292000,0.046210
57501.449000,15.313000,0.046900
57502.260000,15.322000,0.047200
57506.330000,15.382000,0.049250
57511.415000,15.337000,0.047700
57512.392000,15.335000,0.047630
57515.403000,15.376000,0.049040
57537.339000,15.410000,0.050250
57542.294000,15.363000,0.048590
57545.316000,15.499000,0.053570
57546.325000,15.401000,0.049930
57547.303000,15.415000,0.050430
57549.300000,15.488000,0.053150
57557.075000,15.280000,0.048900
57560.114000,15.399000,0.053260
57560.984000,15.333000,0.050790
57567.116000,15.286000,0.049110
57568.100000,15.341000,0.051080
57573.089000,15.314000,0.050100
57583.972000,15.383000,0.052650
57590.032000,15.301000,0.049640
57590.962000,15.424000,0.054240
57601.988000,15.281000,0.048940
57604.994000,15.319000,0.050280
57611.971000,15.321000,0.050360
57735.634000,15.441000,0.051380
57747.659000,15.476000,0.052690
57749.317000,15.462000,0.055750
57751.309000,15.379000,0.052500
57753.306000,15.398000,0.053230
57755.334000,15.470000,0.056080
57756.295000,15.428000,0.054390
57759.554000,15.453000,0.051820
57762.545000,15.457000,0.051970
57765.557000,15.504000,0.053770
57767.566000,15.420000,0.050610
57774.677000,15.449000,0.051680
57793.461000,15.602000,0.057730
57802.616000,15.523000,0.054510
57805.283000,15.367000,0.052050
57807.181000,15.465000,0.055870
57816.469000,15.530000,0.054790
57817.446000,15.505000,0.053810
57818.398000,15.455000,0.051900
57819.395000,15.451000,0.051750
57829.533000,15.487000,0.053110
57831.527000,15.525000,0.054590
57834.463000,15.477000,0.052730
57837.475000,15.477000,0.052730
57840.494000,15.487000,0.053110
57844.314000,15.444000,0.055030
57846.296000,15.385000,0.052730
57848.065000,15.371000,0.052200
57849.325000,15.362000,0.051860
57851.347000,15.500000,0.053610
57856.418000,15.425000,0.050790
57858.128000,15.347000,0.051300
57862.149000,15.350000,0.051420
57863.261000,15.445000,0.055070
57865.274000,15.452000,0.055350
57879.224000,15.448000,0.055190
57884.389000,15.540000,0.055190
57885.269000,15.559000,0.055950
57889.189000,15.317000,0.050210
57890.013000,15.406000,0.053530
57893.356000,15.439000,0.051300
57898.338000,15.425000,0.050790
57904.139000,15.367000,0.052050
57906.161000,15.480000,0.056490
57913.304000,15.381000,0.049220
57914.300000,15.288000,0.046080
57916.141000,15.306000,0.049820
57939.093000,15.183000,0.045660
57943.082000,15.236000,0.047400
57944.013000,15.329000,0.050650
57946.006000,15.310000,0.049960
57952.053000,15.284000,0.049040
57953.042000,15.247000,0.047770
57953.992000,15.359000,0.051750
57958.035000,15.282000,0.048970
57966.010000,15.358000,0.051710
57969.000000,15.258000,0.048140
57971.989000,15.183000,0.045660
57978.968000,15.376000,0.052390
58091.639000,15.370000,0.048830
58110.631000,15.435000,0.051160
58113.582000,15.347000,0.048040
58130.293000,15.368000,0.052090
58132.319000,15.298000,0.049540
58133.315000,15.268000,0.048490
58134.315000,15.332000,0.050760
58135.311000,15.327000,0.050570
58136.307000,15.293000,0.049360
58137.306000,15.250000,0.047870
58138.302000,15.284000,0.049040
58139.298000,15.281000,0.048940
58140.298000,15.251000,0.047910
58143.275000,15.285000,0.049080
58144.255000,15.283000,0.049010
58147.581000,15.329000,0.047430
58148.562000,15.430000,0.050970
58157.643000,15.561000,0.056040
58161.568000,15.379000,0.049150
58164.223000,15.341000,0.051080
58171.260000,15.417000,0.053960
58187.437000,15.362000,0.048560
58203.087000,15.359000,0.051750
58204.358000,15.388000,0.052840
58206.500000,15.277000,0.045730
58233.286000,15.129000,0.043980
58240.219000,15.295000,0.049430
58241.223000,15.304000,0.049750
58243.273000,15.306000,0.049820
58244.042000,15.321000,0.050360
58274.250000,15.266000,0.045380
58286.281000,15.319000,0.047100
58300.115000,15.288000,0.049180
58308.094000,15.258000,0.048140
58309.079000,15.323000,0.050430
58310.076000,15.275000,0.048730
58311.072000,15.237000,0.047430
58312.069000,15.316000,0.050180
58313.068000,15.194000,0.046020
58314.071000,15.216000,0.046730
58316.058000,15.250000,0.047870
58323.029000,15.295000,0.049430
58324.032000,15.138000,0.044250
58328.018000,15.194000,0.046020
58328.995000,15.143000,0.044410
58332.008000,15.223000,0.046970
58332.984000,15.265000,0.048380
58333.992000,15.286000,0.049110
58335.993000,15.189000,0.045860
58337.986000,15.185000,0.045730
58340.979000,15.238000,0.047470
58341.975000,15.189000,0.045860
58446.653000,15.224000,0.044070
58448.642000,15.112000,0.040820
