MJD, Mag, MagErr
56618.648000,0.012110,0.041090
56640.589000,-0.036147,0.042080
56648.570000,0.059756,0.043340
56656.548000,0.017989,0.044720
56674.547000,-0.134018,0.043280
56700.449000,-0.041039,0.039160
56740.335000,-0.025487,0.042840
56756.292000,0.005354,0.039580
56770.370000,-0.026313,0.042170
56784.313000,0.050128,0.041800
56787.406000,-0.073952,0.041880
56794.379000,0.119266,0.040650
56797.358000,0.093224,0.042000
56799.359000,0.019274,0.042930
56802.341000,0.043144,0.040650
56805.350000,-0.019526,0.042810
56812.302000,-0.036560,0.044280
56820.310000,0.010214,0.040000
56822.310000,0.061324,0.041880
56823.291000,0.068088,0.041210
56827.292000,0.148528,0.044900
56829.293000,0.027890,0.042460
56982.650000,-0.000321,0.044340
56998.630000,-0.169340,0.044500
57009.595000,-0.067229,0.044250
57031.556000,-0.036557,0.040460
57039.552000,-0.038092,0.043430
57042.549000,-0.077246,0.043920
57044.552000,-0.120109,0.042430
57046.536000,-0.084784,0.040540
57050.538000,0.060364,0.043580
57055.531000,-0.097990,0.049040
57065.458000,-0.047047,0.044370
57072.518000,-0.115304,0.045250
57082.422000,0.011194,0.043130
57084.486000,0.004782,0.041600
57102.507000,-0.020241,0.046110
57103.466000,-0.030335,0.042990
57106.448000,0.056058,0.043340
57109.409000,0.021713,0.043550
57111.401000,-0.005612,0.043050
57113.410000,0.001150,0.042460
57122.374000,0.082354,0.044190
57148.268000,0.034085,0.044100
57179.280000,0.023517,0.043070
57359.647000,0.042878,0.044680
57365.625000,0.013384,0.046770
57368.622000,-0.044698,0.046150
57369.615000,0.022820,0.046280
57379.337000,-0.094835,0.046180
57380.333000,-0.065536,0.052270
57387.355000,0.044318,0.048630
57395.341000,-0.052522,0.047840
57396.341000,-0.001982,0.047170
57398.281000,-0.027796,0.047430
57399.587000,-0.000262,0.046770
57402.331000,0.012164,0.047870
57404.533000,-0.038713,0.045860
57407.515000,-0.147320,0.049710
57410.314000,0.029845,0.048210
57411.506000,-0.053072,0.043670
57412.605000,-0.011378,0.043610
57419.582000,0.037587,0.048800
57420.499000,-0.079365,0.049220
57422.331000,0.051768,0.046500
57424.343000,0.034008,0.047530
57425.342000,0.003482,0.047840
57426.349000,-0.025123,0.048970
57427.353000,0.065988,0.048380
57428.328000,0.029432,0.048520
57431.342000,0.037074,0.049390
57433.337000,0.175703,0.050000
57434.337000,0.063669,0.049010
57435.336000,0.103416,0.048250
57436.181000,0.037755,0.049610
57437.388000,0.148388,0.049250
57438.284000,0.045151,0.047200
57439.174000,-0.016202,0.053230
57447.409000,0.034425,0.052090
57448.392000,-0.072249,0.049500
57451.294000,0.096227,0.048870
57455.302000,-0.044833,0.049180
57458.231000,0.034350,0.048900
57462.372000,0.073293,0.045690
57463.480000,0.058340,0.047370
57467.356000,0.054743,0.048320
57468.380000,-0.016851,0.047600
57475.214000,0.021906,0.050180
57478.343000,0.079609,0.045980
57479.242000,-0.010308,0.046370
57481.254000,-0.050619,0.049680
57485.237000,-0.030073,0.052090
57491.280000,0.062759,0.047910
57492.315000,0.002668,0.049780
57495.388000,0.029842,0.046210
57501.449000,-0.087943,0.046900
57502.260000,-0.049171,0.047200
57506.330000,-0.051399,0.049250
57511.415000,-0.090011,0.047700
57512.392000,0.044763,0.047630
57515.403000,0.051500,0.049040
57537.339000,-0.106682,0.050250
57542.294000,-0.007999,0.048590
57545.316000,-0.085451,0.053570
57546.325000,-0.041198,0.049930
57547.303000,-0.028914,0.050430
57549.300000,0.083186,0.053150
57557.075000,0.009117,0.048900
57560.114000,-0.054074,0.053260
57560.984000,0.036344,0.050790
57567.116000,0.046707,0.049110
57568.100000,0.010481,0.051080
57573.089000,0.144919,0.050100
57583.972000,0.008794,0.052650
57590.032000,-0.013224,0.049640
57590.962000,0.047473,0.054240
57601.988000,-0.069650,0.048940
57604.994000,-0.030123,0.050280
57611.971000,-0.041823,0.050360
57735.634000,0.096693,0.051380
57747.659000,0.078658,0.052690
57749.317000,0.085893,0.055750
57751.309000,0.112755,0.052500
57753.306000,0.122685,0.053230
57755.334000,0.072922,0.056080
57756.295000,-0.026524,0.054390
57759.554000,-0.056170,0.051820
57762.545000,0.038759,0.051970
57765.557000,0.149248,0.053770
57767.566000,0.106165,0.050610
57774.677000,0.126371,0.051680
57793.461000,0.193522,0.057730
57802.616000,0.044359,0.054510
57805.283000,0.027633,0.052050
57807.181000,0.139232,0.055870
57816.469000,0.019238,0.054790
57817.446000,0.210385,0.053810
57818.398000,0.143603,0.051900
57819.395000,0.052155,0.051750
57829.533000,0.055337,0.053110
57831.527000,0.111385,0.054590
57834.463000,0.127387,0.052730
57837.475000,0.163548,0.052730
57840.494000,0.118222,0.053110
57844.314000,0.025685,0.055030
57846.296000,0.090654,0.052730
57848.065000,-0.015948,0.052200
57849.325000,0.107010,0.051860
57851.347000,0.112957,0.053610
57856.418000,0.087456,0.050790
57858.128000,0.019129,0.051300
57862.149000,0.152164,0.051420
57863.261000,0.149719,0.055070
57865.274000,0.040320,0.055350
57879.224000,-0.017063,0.055190
57884.389000,0.131282,0.055190
57885.269000,0.115752,0.055950
57889.189000,0.079576,0.050210
57890.013000,0.094449,0.053530
57893.356000,0.123550,0.051300
57898.338000,0.054815,0.050790
57904.139000,0.179461,0.052050
57906.161000,0.117343,0.056490
57913.304000,0.042331,0.049220
57914.300000,0.051640,0.046080
57916.141000,0.170014,0.049820
57939.093000,0.040294,0.045660
57943.082000,0.002899,0.047400
57944.013000,0.128766,0.050650
57946.006000,0.087511,0.049960
57952.053000,0.208795,0.049040
57953.042000,0.079218,0.047770
57953.992000,0.132770,0.051750
57958.035000,0.092579,0.048970
57966.010000,0.117865,0.051710
57969.000000,-0.006111,0.048140
57971.989000,0.088565,0.045660
57978.968000,0.126539,0.052390
58091.639000,0.060198,0.048830
58110.631000,0.032256,0.051160
58113.582000,0.051700,0.048040
58130.293000,-0.096828,0.052090
58132.319000,0.094660,0.049540
58133.315000,0.054185,0.048490
58134.315000,0.072421,0.050760
58135.311000,0.084380,0.050570
58136.307000,0.066566,0.049360
58137.306000,0.136302,0.047870
58138.302000,-0.005282,0.049040
58139.298000,0.048654,0.048940
58140.298000,0.117042,0.047910
58143.275000,0.058691,0.049080
58144.255000,0.098349,0.049010
58147.581000,-0.034388,0.047430
