MJD, Mag, MagErr
56618.648000,-0.144247,0.041090
56640.589000,-0.215466,0.042080
56648.570000,-0.129061,0.043340
56656.548000,-0.193538,0.044720
56674.547000,-0.176321,0.043280
56700.449000,-0.219536,0.039160
56740.335000,-0.182376,0.042840
56756.292000,-0.121840,0.039580
56770.370000,-0.037455,0.042170
56784.313000,-0.166846,0.041800
56787.406000,-0.099636,0.041880
56794.379000,-0.081447,0.040650
56797.358000,-0.043413,0.042000
56799.359000,-0.017652,0.042930
56802.341000,-0.134089,0.040650
56805.350000,-0.083725,0.042810
56812.302000,-0.013093,0.044280
56820.310000,-0.039778,0.040000
56822.310000,0.015511,0.041880
56823.291000,0.019914,0.041210
56827.292000,0.099699,0.044900
56829.293000,-0.156957,0.042460
56982.650000,-0.022936,0.044340
56998.630000,-0.024984,0.044500
57009.595000,-0.094440,0.044250
57031.556000,-0.049037,0.040460
57039.552000,0.061889,0.043430
57042.549000,0.005373,0.043920
57044.552000,0.057060,0.042430
57046.536000,0.102902,0.040540
57050.538000,0.016706,0.043580
57055.531000,0.004123,0.049040
57065.458000,-0.050481,0.044370
57072.518000,-0.003304,0.045250
57082.422000,-0.026885,0.043130
57084.486000,-0.006848,0.041600
57102.507000,-0.000435,0.046110
57103.466000,-0.031299,0.042990
57106.448000,-0.062375,0.043340
57109.409000,-0.029630,0.043550
57111.401000,-0.009627,0.043050
57113.410000,-0.057485,0.042460
57122.374000,0.011721,0.044190
57148.268000,0.002396,0.044100
57179.280000,0.008240,0.043070
57359.647000,0.143391,0.044680
57365.625000,0.260753,0.046770
57368.622000,0.208785,0.046150
57369.615000,0.208305,0.046280
57379.337000,0.170597,0.046180
57380.333000,0.178516,0.052270
57387.355000,0.205246,0.048630
57395.341000,0.137311,0.047840
57396.341000,0.072756,0.047170
57398.281000,0.172604,0.047430
57399.587000,0.109669,0.046770
57402.331000,0.168844,0.047870
57404.533000,0.100195,0.045860
57407.515000,0.062321,0.049710
57410.314000,0.044110,0.048210
57411.506000,0.132356,0.043670
57412.605000,0.228759,0.043610
57419.582000,0.150322,0.048800
57420.499000,0.170399,0.049220
57422.331000,0.152702,0.046500
57424.343000,0.158907,0.047530
57425.342000,0.288807,0.047840
57426.349000,0.119143,0.048970
57427.353000,0.149860,0.048380
57428.328000,0.117114,0.048520
57431.342000,0.195861,0.049390
57433.337000,0.172989,0.050000
57434.337000,0.138813,0.049010
57435.336000,0.200251,0.048250
57436.181000,0.099658,0.049610
57437.388000,0.160706,0.049250
57438.284000,0.165940,0.047200
57439.174000,0.257720,0.053230
57447.409000,0.196910,0.052090
57448.392000,0.168664,0.049500
57451.294000,0.082414,0.048870
57455.302000,0.060171,0.049180
57458.231000,0.174604,0.048900
57462.372000,0.102765,0.045690
57463.480000,0.121781,0.047370
57467.356000,0.081488,0.048320
57468.380000,0.137161,0.047600
57475.214000,0.144237,0.050180
57478.343000,0.236099,0.045980
57479.242000,0.259595,0.046370
57481.254000,0.234066,0.049680
57485.237000,0.243992,0.052090
57491.280000,0.105586,0.047910
57492.315000,0.243839,0.049780
57495.388000,0.118723,0.046210
57501.449000,0.065714,0.046900
57502.260000,0.333849,0.047200
57506.330000,0.193299,0.049250
57511.415000,0.132840,0.047700
57512.392000,0.165989,0.047630
57515.403000,0.169211,0.049040
57537.339000,0.021103,0.050250
57542.294000,0.082781,0.048590
57545.316000,0.155819,0.053570
57546.325000,0.128538,0.049930
57547.303000,0.021023,0.050430
57549.300000,0.078736,0.053150
57557.075000,0.100583,0.048900
57560.114000,0.114477,0.053260
57560.984000,0.002483,0.050790
57567.116000,0.112615,0.049110
57568.100000,0.198238,0.051080
57573.089000,0.012091,0.050100
57583.972000,0.128822,0.052650
57590.032000,0.191566,0.049640
57590.962000,0.148567,0.054240
57601.988000,0.159633,0.048940
57604.994000,0.097865,0.050280
57611.971000,0.108916,0.050360
57735.634000,0.002991,0.051380
57747.659000,0.048953,0.052690
57749.317000,0.014839,0.055750
57751.309000,0.001624,0.052500
57753.306000,0.136438,0.053230
57755.334000,0.047153,0.056080
57756.295000,0.096879,0.054390
57759.554000,0.083918,0.051820
57762.545000,-0.004635,0.051970
57765.557000,-0.076834,0.053770
57767.566000,-0.059647,0.050610
57774.677000,0.039496,0.051680
57793.461000,0.002539,0.057730
57802.616000,0.074560,0.054510
57805.283000,0.005477,0.052050
57807.181000,-0.067839,0.055870
57816.469000,0.018224,0.054790
57817.446000,0.087978,0.053810
57818.398000,0.042668,0.051900
57819.395000,0.015412,0.051750
57829.533000,-0.006180,0.053110
57831.527000,0.104432,0.054590
57834.463000,0.090625,0.052730
57837.475000,0.008765,0.052730
57840.494000,-0.058816,0.053110
57844.314000,-0.046014,0.055030
57846.296000,0.030068,0.052730
57848.065000,-0.060261,0.052200
57849.325000,-0.024218,0.051860
57851.347000,-0.010141,0.053610
57856.418000,-0.044829,0.050790
57858.128000,-0.049292,0.051300
57862.149000,-0.028525,0.051420
57863.261000,-0.053565,0.055070
57865.274000,-0.112251,0.055350
57879.224000,0.024424,0.055190
57884.389000,-0.083850,0.055190
57885.269000,0.042207,0.055950
57889.189000,-0.042064,0.050210
57890.013000,-0.044764,0.053530
57893.356000,0.057235,0.051300
57898.338000,0.001748,0.050790
57904.139000,-0.041011,0.052050
57906.161000,-0.077749,0.056490
57913.304000,-0.060708,0.049220
57914.300000,-0.010483,0.046080
57916.141000,0.023652,0.049820
57939.093000,-0.024398,0.045660
57943.082000,-0.058525,0.047400
57944.013000,-0.013227,0.050650
57946.006000,0.011238,0.049960
57952.053000,-0.053228,0.049040
57953.042000,0.056175,0.047770
57953.992000,-0.040245,0.051750
57958.035000,0.033753,0.048970
57966.010000,0.046481,0.051710
57969.000000,-0.004920,0.048140
57971.989000,-0.014880,0.045660
57978.968000,0.043610,0.052390
58091.639000,-0.182844,0.048830
58110.631000,-0.097716,0.051160
58113.582000,-0.095071,0.048040
58130.293000,-0.074937,0.052090
