MJD, Mag, MagErr
56656.558500,-0.180688,0.037122
56786.345909,-0.090603,0.058031
56824.499200,-0.014781,0.094915
56996.958333,-0.047571,0.040705
57074.255235,-0.004231,0.045075
57149.974000,0.007459,0.004712
57391.111059,0.154215,0.061133
57459.724205,0.165247,0.062018
57568.793000,0.102980,0.059104
57773.400500,0.024972,0.058335
57866.540862,-0.013917,0.051914
57956.273583,-0.002568,0.039715
58105.284000,-0.125702,0.049930
58154.400591,-0.156710,0.069909
58284.767250,-0.169925,0.051301
58332.726455,-0.156932,0.067723
58447.647500,-0.050560,0.042591
