MJD, Mag, MagErr
53496.204980,15.050000,0.060000
53496.212490,15.020000,0.060000
53496.219930,15.030000,0.060000
53496.227380,15.050000,0.060000
53525.196320,15.060000,0.060000
53525.205510,15.020000,0.060000
53525.214720,15.030000,0.060000
53525.223790,15.060000,0.060000
53532.219820,15.050000,0.060000
53532.226830,15.050000,0.060000
53532.233850,15.030000,0.060000
53532.240910,15.050000,0.060000
53555.159990,15.060000,0.060000
53555.168050,15.050000,0.060000
53555.176100,15.050000,0.060000
53555.184170,15.070000,0.060000
53743.482760,15.100000,0.060000
53743.488700,15.100000,0.060000
53743.494620,15.090000,0.060000
53743.500540,15.100000,0.060000
53765.523440,15.100000,0.060000
53765.529820,15.080000,0.060000
53765.536390,15.100000,0.060000
53765.542850,15.090000,0.060000
53776.475600,15.100000,0.060000
53776.482610,15.130000,0.060000
53776.489620,15.090000,0.060000
53776.496660,15.090000,0.060000
53845.328440,15.070000,0.060000
53845.335490,15.070000,0.060000
53845.342500,15.070000,0.060000
53845.349500,15.090000,0.060000
53863.322900,15.050000,0.090000
53863.323640,15.090000,0.090000
53863.324510,15.090000,0.090000
53863.325260,15.020000,0.090000
53875.237710,15.080000,0.060000
53875.245400,15.080000,0.060000
53875.253070,15.080000,0.060000
53875.260720,15.090000,0.060000
53886.180290,15.070000,0.050000
53886.187490,15.050000,0.050000
53886.194640,15.040000,0.050000
53886.201840,15.060000,0.050000
53887.164980,15.050000,0.050000
53887.171770,15.050000,0.050000
53887.178440,15.050000,0.050000
53887.185200,15.040000,0.050000
53903.234300,15.000000,0.090000
53903.235310,15.010000,0.090000
53903.236360,14.980000,0.090000
53903.237400,14.970000,0.090000
53906.198010,15.060000,0.060000
53906.211880,15.050000,0.060000
54094.509430,15.040000,0.060000
54094.517830,15.040000,0.060000
54094.526220,15.030000,0.060000
54094.534690,15.030000,0.060000
54115.488970,15.040000,0.060000
54115.498340,15.050000,0.060000
54115.507920,15.060000,0.060000
54115.519710,15.040000,0.060000
54127.454060,15.020000,0.060000
54127.464310,15.030000,0.060000
54127.474540,15.020000,0.060000
54127.484770,15.040000,0.060000
54201.254490,15.010000,0.060000
54201.263160,15.000000,0.060000
54201.271850,15.010000,0.060000
54201.280520,14.990000,0.060000
