MJD, Mag, MagErr
53496.204980,-0.015019,0.060000
53496.212490,-0.011757,0.060000
53496.219930,-0.004714,0.060000
53496.227380,0.008552,0.060000
53525.196320,-0.021011,0.060000
53525.205510,-0.028213,0.060000
53525.214720,-0.026955,0.060000
53525.223790,-0.013660,0.060000
53532.219820,-0.014192,0.060000
53532.226830,0.004127,0.060000
53532.233850,-0.018427,0.060000
53532.240910,-0.004341,0.060000
53555.159990,0.002751,0.060000
53555.168050,-0.027690,0.060000
53555.176100,-0.007854,0.060000
53555.184170,0.014756,0.060000
53743.482760,-0.056215,0.060000
53743.488700,-0.058007,0.060000
53743.494620,-0.067061,0.060000
53743.500540,-0.039722,0.060000
53765.523440,-0.030859,0.060000
53765.529820,-0.014678,0.060000
53765.536390,-0.046958,0.060000
53765.542850,-0.056336,0.060000
53776.475600,-0.004786,0.060000
53776.482610,-0.001021,0.060000
53776.489620,-0.002461,0.060000
53776.496660,0.008671,0.060000
53845.328440,-0.060651,0.060000
53845.335490,-0.059076,0.060000
53845.342500,-0.073470,0.060000
53845.349500,-0.063810,0.060000
53863.322900,-0.099905,0.090000
53863.323640,-0.106849,0.090000
53863.324510,-0.103794,0.090000
53863.325260,-0.093065,0.090000
53875.237710,-0.038957,0.060000
53875.245400,-0.044048,0.060000
53875.253070,-0.041693,0.060000
53875.260720,-0.038212,0.060000
53886.180290,-0.039460,0.050000
53886.187490,-0.038134,0.050000
53886.194640,-0.042077,0.050000
53886.201840,-0.048059,0.050000
53887.164980,-0.035444,0.050000
53887.171770,-0.062173,0.050000
53887.178440,-0.047596,0.050000
53887.185200,-0.036449,0.050000
53903.234300,-0.045355,0.090000
53903.235310,-0.028765,0.090000
53903.236360,-0.033340,0.090000
53903.237400,-0.023524,0.090000
53906.198010,-0.043829,0.060000
53906.211880,-0.012475,0.060000
54094.509430,0.043901,0.060000
54094.517830,0.044685,0.060000
54094.526220,0.024859,0.060000
54094.534690,0.034313,0.060000
54115.488970,-0.002682,0.060000
54115.498340,0.000385,0.060000
54115.507920,-0.015773,0.060000
54115.519710,-0.003729,0.060000
54127.454060,0.023729,0.060000
54127.464310,0.014568,0.060000
54127.474540,0.044283,0.060000
54127.484770,0.047303,0.060000
54201.254490,0.106653,0.060000
54201.263160,0.105902,0.060000
54201.271850,0.111771,0.060000
54201.280520,0.093707,0.060000
54241.239500,0.060240,0.060000
54241.248700,0.040524,0.060000
54241.257910,0.054978,0.060000
54241.267280,0.069229,0.060000
54450.512710,-0.040221,0.060000
54450.518910,-0.038684,0.060000
54450.524990,-0.059367,0.060000
54450.531060,-0.035163,0.060000
54480.487630,-0.003760,0.060000
54480.494210,0.003978,0.060000
54480.500700,-0.023042,0.060000
54480.507230,-0.022358,0.060000
54515.390080,0.000702,0.060000
54515.394330,-0.005220,0.060000
54515.398600,-0.009435,0.060000
54515.402860,-0.040567,0.060000
54560.348510,0.008419,0.060000
54560.353890,-0.000482,0.060000
54560.359300,0.012170,0.060000
54560.364670,0.008495,0.060000
54567.300740,-0.043230,0.060000
54567.309680,-0.016407,0.060000
54567.318650,-0.001556,0.060000
54567.327610,0.004568,0.060000
54569.381380,0.000154,0.050000
54569.387460,0.009371,0.050000
54569.393580,0.007982,0.050000
54569.399800,0.016988,0.050000
54581.292850,0.037122,0.060000
54581.299330,0.007752,0.060000
54581.305780,0.048262,0.060000
54581.312220,0.028945,0.060000
54608.170220,-0.030962,0.050000
54608.174410,-0.038132,0.050000
54608.178260,-0.030133,0.050000
54608.182050,-0.029404,0.050000
54829.542690,0.040231,0.060000
