MJD, Mag, MagErr
52668.516557,14.851064,0.067423
52672.473212,14.933052,0.115294
52673.410052,14.852119,0.014026
52704.447700,14.873424,0.037945
52705.406900,14.906929,0.011379
52708.401530,14.918166,0.010184
52729.364806,14.903607,0.016443
52734.330829,14.827258,0.170974
52736.300577,14.842977,0.025915
52757.289870,14.909004,0.011308
52758.295928,14.848917,0.029197
52765.190077,14.952750,0.371295
52790.232109,14.862031,0.050760
52815.191444,14.986813,0.075855
52822.190009,14.968734,0.113598
52996.483336,14.965580,0.015851
53028.471866,14.998128,0.016261
53032.429155,15.015635,0.009189
53055.415926,15.280804,0.097848
53060.391707,14.982687,0.009754
53081.374979,14.998245,0.012042
53082.424741,15.024265,0.010337
53084.378095,15.015979,0.008469
53091.353428,15.008550,0.008274
53092.336520,15.000178,0.016381
53093.341553,14.982574,0.008501
53094.302438,14.982427,0.004898
53112.266546,15.039986,0.019696
53113.335295,15.094735,0.032357
53115.333157,15.060026,0.008348
53140.221050,15.091955,0.006842
53141.285049,15.042381,0.022851
53143.304502,15.087871,0.024138
53168.180613,15.106073,0.016454
53170.183773,15.113026,0.009131
53172.191910,15.126423,0.054744
53353.495030,15.160516,0.011280
53383.502306,15.119157,0.018047
53402.470252,15.077065,0.010214
53403.464291,15.121952,0.008988
53405.429850,15.077512,0.006583
53446.463650,15.148845,0.014101
53464.363933,15.137529,0.018952
53467.354950,15.137822,0.122375
53478.295363,15.114050,0.024429
53506.214317,15.119273,0.015453
53745.429715,15.137836,0.013938
53758.490454,15.106712,0.015809
53789.431398,15.119965,0.102783
53792.428188,15.159219,0.033368
53802.416859,15.179339,0.038969
53816.380639,15.136310,0.050349
53821.392049,15.199095,0.044475
53824.446292,15.297775,0.260552
53828.413310,15.252950,0.070270
53831.348514,15.136213,0.009727
53846.322574,15.175434,0.007004
53851.317227,15.172193,0.011397
53857.347887,15.153551,0.018985
53879.251207,15.094571,0.017945
53885.241236,15.124493,0.019204
53891.211988,15.177493,0.067515
54148.371340,15.078816,0.012923
54153.410350,15.054636,0.029290
54158.367000,15.054625,0.015674
54174.396227,15.062981,0.067163
54177.368885,15.104857,0.122326
54180.411707,15.076147,0.012181
54205.334831,15.043556,0.005819
54208.327106,15.065397,0.010925
54212.334396,15.048692,0.017084
54230.213600,14.969092,0.089608
54234.265687,15.028191,0.041708
54242.251800,15.029067,0.031106
54265.177068,14.965137,0.017452
54271.185257,15.024841,0.012484
54481.435803,14.946882,0.009588
54506.421606,14.947509,0.015469
54522.479400,14.869248,0.029557
54529.405551,14.935907,0.009560
54533.461476,14.930974,0.025625
54535.406417,14.917503,0.013621
54553.377458,14.946734,0.004678
54562.378400,14.927432,0.014464
54567.283336,14.938243,0.010327
54570.267255,14.934775,0.009042
54584.324340,14.956036,0.019920
54591.315340,14.936385,0.014860
54599.225016,14.908454,0.012675
54614.234081,14.908749,0.005122
54623.192269,14.890779,0.031791
54829.484863,14.930647,0.014791
54838.481711,14.951125,0.021671
54853.438873,14.913375,0.142215
54859.427486,14.982082,0.009429
54868.408166,14.910910,0.039509
54885.389896,14.981590,0.009810
54915.309035,15.021571,0.006002
54919.378438,14.970899,0.030078
54945.319155,14.990940,0.012100
54952.237286,14.981729,0.011537
55209.462411,15.100392,0.050450
55214.423079,15.105244,0.009803
55244.423264,15.119116,0.012053
55264.474384,15.144825,0.009324
55274.364144,15.153068,0.032777
55293.388694,15.162330,0.020904
55299.347185,15.207914,0.004428
55308.152456,15.184481,0.018738
55322.312389,15.193333,0.063420
55352.240294,15.224725,0.023065
55358.186090,15.230011,0.011906
55575.503157,15.227903,0.019234
55602.478872,15.157809,0.038116
55617.493756,15.205317,0.013610
55633.350095,15.218997,0.017515
55646.442299,15.220876,0.015331
55652.391701,15.187703,0.006284
55662.281579,15.162483,0.010752
55676.320819,15.161721,0.010694
55682.323698,15.163486,0.123029
55689.218843,15.159024,0.012196
55705.244683,15.148759,0.010227
55711.241419,15.135379,0.011215
55924.498444,15.089606,0.013841
55956.431973,15.051635,0.015317
55972.504375,15.074838,0.009664
55980.420826,15.041317,0.021030
55986.360644,15.036864,0.014153
56002.410431,15.024545,0.008926
56004.361256,15.026071,0.156209
56010.399720,15.023685,0.006248
56015.339942,15.036183,0.009512
56030.359106,15.031006,0.011234
56046.259921,14.992020,0.007295
56066.238014,14.997135,0.011109
56073.180269,14.989365,0.009113
56090.180472,14.969903,0.024076
