MJD, Mag, MagErr
52668.516557,-0.088775,0.067423
52672.473212,-0.218256,0.115294
52673.410052,-0.144525,0.014026
52704.447700,-0.103921,0.037945
52705.406900,-0.105933,0.011379
52708.401530,-0.114555,0.010184
52729.364806,-0.095868,0.016443
52734.330829,-0.003119,0.170974
52736.300577,-0.120025,0.025915
52757.289870,-0.105873,0.011308
52758.295928,-0.126939,0.029197
52765.190077,0.375592,0.371295
52790.232109,-0.164447,0.050760
52815.191444,0.037521,0.075855
52822.190009,-0.133243,0.113598
52996.483336,-0.000167,0.015851
53028.471866,0.049738,0.016261
53032.429155,0.059307,0.009189
53055.415926,0.020178,0.097848
53060.391707,0.081082,0.009754
53081.374979,0.036922,0.012042
53082.424741,0.070634,0.010337
53084.378095,0.082684,0.008469
53091.353428,0.074391,0.008274
53092.336520,0.082815,0.016381
53093.341553,0.093714,0.008501
53094.302438,0.082330,0.004898
53112.266546,0.101488,0.019696
53113.335295,0.119783,0.032357
53115.333157,0.107816,0.008348
53140.221050,0.057492,0.006842
53141.285049,0.054025,0.022851
53143.304502,0.006347,0.024138
53168.180613,0.053467,0.016454
53170.183773,0.041066,0.009131
53172.191910,0.042574,0.054744
53353.495030,0.119835,0.011280
53383.502306,0.149496,0.018047
53402.470252,0.131432,0.010214
53403.464291,0.132712,0.008988
53405.429850,0.149926,0.006583
53446.463650,0.184325,0.014101
53464.363933,0.171929,0.018952
53467.354950,0.270815,0.122375
53478.295363,0.138599,0.024429
53506.214317,0.204989,0.015453
53745.429715,0.062285,0.013938
53758.490454,0.039164,0.015809
53789.431398,0.100332,0.102783
53792.428188,0.045785,0.033368
53802.416859,-0.031963,0.038969
53816.380639,0.080603,0.050349
53821.392049,0.069789,0.044475
53824.446292,0.457266,0.260552
53828.413310,0.066308,0.070270
53831.348514,0.067350,0.009727
53846.322574,0.019579,0.007004
53851.317227,0.068156,0.011397
53857.347887,0.115344,0.018985
53879.251207,0.044329,0.017945
53885.241236,0.024330,0.019204
53891.211988,0.101441,0.067515
54148.371340,-0.121860,0.012923
54153.410350,-0.110026,0.029290
54158.367000,-0.117058,0.015674
54174.396227,-0.057077,0.067163
54177.368885,-0.345146,0.122326
54180.411707,-0.115360,0.012181
54205.334831,-0.109957,0.005819
54208.327106,-0.148351,0.010925
54212.334396,-0.136040,0.017084
54230.213600,-0.074409,0.089608
54234.265687,-0.190193,0.041708
54242.251800,-0.157433,0.031106
54265.177068,-0.140056,0.017452
54271.185257,-0.156580,0.012484
54481.435803,-0.065293,0.009588
54506.421606,-0.053673,0.015469
54522.479400,-0.090881,0.029557
54529.405551,-0.069061,0.009560
54533.461476,-0.035963,0.025625
54535.406417,-0.054857,0.013621
54553.377458,-0.047904,0.004678
54562.378400,-0.035990,0.014464
54567.283336,-0.027443,0.010327
54570.267255,-0.061940,0.009042
54584.324340,-0.076255,0.019920
54591.315340,-0.075786,0.014860
54599.225016,-0.113709,0.012675
54614.234081,-0.129878,0.005122
54623.192269,-0.101648,0.031791
54829.484863,-0.022160,0.014791
54838.481711,0.008953,0.021671
54853.438873,0.046219,0.142215
54859.427486,-0.027021,0.009429
54868.408166,-0.019112,0.039509
54885.389896,-0.034787,0.009810
54915.309035,0.014954,0.006002
54919.378438,-0.040726,0.030078
54945.319155,0.037717,0.012100
54952.237286,0.044741,0.011537
55209.462411,0.157104,0.050450
55214.423079,0.107414,0.009803
55244.423264,0.123011,0.012053
55264.474384,0.122588,0.009324
55274.364144,0.063486,0.032777
55293.388694,0.130185,0.020904
55299.347185,0.135389,0.004428
55308.152456,0.110844,0.018738
55322.312389,0.207474,0.063420
55352.240294,0.062741,0.023065
55358.186090,0.080068,0.011906
55575.503157,0.084415,0.019234
55602.478872,0.051270,0.038116
55617.493756,0.049241,0.013610
55633.350095,0.073636,0.017515
55646.442299,0.038945,0.015331
55652.391701,0.050552,0.006284
55662.281579,0.039986,0.010752
55676.320819,0.041245,0.010694
55682.323698,0.274764,0.123029
55689.218843,0.032513,0.012196
55705.244683,0.064173,0.010227
55711.241419,0.056944,0.011215
55924.498444,-0.004479,0.013841
55956.431973,-0.087888,0.015317
55972.504375,-0.035553,0.009664
55980.420826,-0.039802,0.021030
55986.360644,-0.056441,0.014153
56002.410431,-0.054110,0.008926
56004.361256,-0.071217,0.156209
56010.399720,-0.011996,0.006248
56015.339942,-0.050716,0.009512
56030.359106,-0.065191,0.011234
56046.259921,-0.056176,0.007295
56066.238014,-0.006241,0.011109
56073.180269,-0.019984,0.009113
56090.180472,0.004673,0.024076
